csv,epc,type,rssi
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841857,25%,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841857,50%,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841857,75%,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841857,max,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841860,count,2.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841860,mean,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841860,std,0.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841860,min,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841860,25%,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841860,50%,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841860,75%,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841860,max,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591867,count,3.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591867,mean,-65.66666666666667
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591867,std,1.1547005383792517
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591867,min,-67.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591867,25%,-66.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591867,50%,-65.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591867,75%,-65.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591867,max,-65.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591868,count,22.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591868,mean,-60.47727272727273
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591868,std,1.8223302241601123
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591868,min,-64.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591868,25%,-60.75
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591868,50%,-60.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591868,75%,-59.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591868,max,-57.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591871,count,8.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591871,mean,-66.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591871,std,1.439245834257849
