csv,epc,type,rssi
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591872,count,4.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591872,mean,-67.875
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591872,std,0.75
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591872,min,-68.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591872,25%,-68.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591872,50%,-68.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591872,75%,-67.375
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591872,max,-67.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661861,count,12.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661861,mean,-65.70833333333333
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661861,std,1.484133253839262
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661861,min,-68.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661861,25%,-66.625
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661861,50%,-66.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661861,75%,-65.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661861,max,-63.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661862,count,9.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661862,mean,-64.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661862,std,3.278719262151
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661862,min,-69.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661862,25%,-66.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661862,50%,-63.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661862,75%,-61.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661862,max,-60.0
