csv,epc,type,rssi
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249722621700351875,75%,-61.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249722621700351875,max,-60.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381889,count,16.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381889,mean,-59.90625
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381889,std,0.8605957239029253
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381889,min,-61.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381889,25%,-60.125
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381889,50%,-59.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381889,75%,-59.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381889,max,-58.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381890,count,4.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381890,mean,-67.125
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381890,std,1.547847968417226
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381890,min,-68.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381890,25%,-68.125
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381890,50%,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381890,75%,-66.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010349013305354381890,max,-65.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141898,count,6.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141898,mean,-63.416666666666664
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141898,std,1.3197221929886103
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141898,min,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141898,25%,-63.375
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141898,50%,-63.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141898,75%,-62.625
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141898,max,-62.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141899,count,7.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141899,mean,-65.71428571428571
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141899,std,2.595784127791685
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141899,min,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141899,25%,-66.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141899,50%,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141899,75%,-65.0
